id,project_a,project_b,weight_a,weight_b,project_a_star_count,project_a_fork_count,project_a_watcher_count,project_a_contributors_count,project_a_Readme_score,project_a_technical_innovation,project_a_community_engagement,project_a_accessibility,project_b_star_count,project_b_fork_count,project_b_watcher_count,project_b_contributors_count,project_b_Readme_score,project_b_technical_innovation,project_b_community_engagement,project_b_accessibility
675,https://github.com/reactivex/rxjs,https://github.com/emotion-js/emotion,0.01075037626,0.98924962374,30.9k,3k,449,538,4.5,4.8,4.7,4.3,17.6k,1.1k,96,319,4.5,4.8,4.2,4.0
676,https://github.com/reactivex/rxjs,https://github.com/epoberezkin/fast-deep-equal,0.08223684211,0.91776315789,30.9k,3k,449,538,4.5,4.8,4.7,4.3,1.9k,106,14,13,4.5,4.0,3.5,4.0
678,https://github.com/reactivex/rxjs,https://github.com/prettier/prettier,0.00490003920,0.99509996080,30.9k,3k,449,538,4.5,4.8,4.7,4.3,49.8k,4.4k,419,715,4.5,4.8,4.7,4.3
682,https://github.com/reactivex/rxjs,https://github.com/heim-rs/darwin-libproc,0.92592592590,0.07407407410,30.9k,3k,449,538,4.5,4.8,4.7,4.3,8,22,2,Not explicitly provided in the information.,3.5,3.0,2.5,3.0
684,https://github.com/reactivex/rxjs,https://github.com/postcss/postcss,0.04488330341,0.95511669659,30.9k,3k,449,538,4.5,4.8,4.7,4.3,28.6k,1.6k,506,385,4.5,4.8,4.2,4.0
685,https://github.com/webreflection/flatted,https://github.com/vuejs/vue,0.03006675683,0.96993324317,1.1k,49,10,11,4.0,4.5,3.5,3.0,208k,33.7k,5.9k,366,4.5,4.0,4.5,4.0
687,https://github.com/webreflection/flatted,https://github.com/level/levelup,0.88256726255,0.11743273745,1.1k,49,10,11,4.0,4.5,3.5,3.0,4.1k,267,91,42,4.5,4.0,3.5,3.0
688,https://github.com/webreflection/flatted,https://github.com/debug-js/debug,0.70573693096,0.29426306904,1.1k,49,10,11,4.0,4.5,3.5,3.0,11.2k,945,139,116,4.5,4.0,4.0,4.0
689,https://github.com/webreflection/flatted,https://github.com/babel/babel,0.00976683130,0.99023316870,1.1k,49,10,11,4.0,4.5,3.5,3.0,43.4k,5.7k,804,"1,091",4.5,4.8,4.7,4.3
690,https://github.com/webreflection/flatted,https://github.com/webpack/webpack,0.00898368741,0.99101631259,1.1k,49,10,11,4.0,4.5,3.5,3.0,64.9k,8.9k,1.5k,810,4.5,5,4.8,4.2
691,https://github.com/webreflection/flatted,https://github.com/gulpjs/gulp,0.14469936313,0.85530063687,1.1k,49,10,11,4.0,4.5,3.5,3.0,33.1k,4.2k,1k,246,4.5,4.0,4.5,4.0
693,https://github.com/webreflection/flatted,https://github.com/reactivex/rxjs,0.98360655740,0.01639344260,1.1k,49,10,11,4.0,4.5,3.5,3.0,30.9k,3k,449,538,4.5,4.8,4.7,4.3
695,https://github.com/webreflection/flatted,https://github.com/mikemcl/bignumber.js,0.77519679435,0.22480320565,1.1k,49,10,11,4.0,4.5,3.5,3.0,6.7k,744,83,35,4.5,4.8,4.0,4.2
697,https://github.com/webreflection/flatted,https://github.com/go-task/slim-sprig,0.86255028148,0.13744971852,1.1k,49,10,11,4.0,4.5,3.5,3.0,63,15,4,Not provided,3.5,3.0,2.5,3.0
698,https://github.com/webreflection/flatted,https://github.com/electron/electron,0.21274461874,0.78725538126,1.1k,49,10,11,4.0,4.5,3.5,3.0,115k,15.7k,2.8k,"1,291",4.5,4.8,4.7,4.6
699,https://github.com/webreflection/flatted,https://github.com/gregberge/svgr,0.37861903385,0.62138096615,1.1k,49,10,11,4.0,4.5,3.5,3.0,10.6k,425,35,132,4.5,4.8,4.2,4.0
700,https://github.com/webreflection/flatted,https://github.com/emotion-js/emotion,0.50675490517,0.49324509483,1.1k,49,10,11,4.0,4.5,3.5,3.0,17.6k,1.1k,96,319,4.5,4.8,4.2,4.0
702,https://github.com/webreflection/flatted,https://github.com/pnpm/cmd-shim,0.43689280903,0.56310719097,1.1k,49,10,11,4.0,4.5,3.5,3.0,14,11,5,Not provided,3.5,3.0,2.5,3.0
703,https://github.com/webreflection/flatted,https://github.com/coinbase/coinbase-wallet-sdk,0.07322654462,0.92677345538,1.1k,49,10,11,4.0,4.5,3.5,3.0,1.5k,601,171,52,4.5,4.0,3.5,4.0
704,https://github.com/webreflection/flatted,https://github.com/swc-project/swc,0.54340569117,0.45659430883,1.1k,49,10,11,4.0,4.5,3.5,3.0,31.5k,1.2k,153,304,4.5,4.8,4.2,4.0
705,https://github.com/webreflection/flatted,https://github.com/bradfitz/iter,0.01402524544,0.98597475456,1.1k,49,10,11,4.0,4.5,3.5,3.0,298,12,5,Not provided,2.0,1.5,1.0,1.5
707,https://github.com/webreflection/flatted,https://github.com/eslint/eslint,0.01746305302,0.98253694698,1.1k,49,10,11,4.0,4.5,3.5,3.0,25.4k,4.6k,315,"1,035",4.5,4.8,4.7,4.3
708,https://github.com/webreflection/flatted,https://github.com/sheetjs/js-crc32,0.81630005710,0.18369994290,1.1k,49,10,11,4.0,4.5,3.5,3.0,345,37,10,6,4.5,3.5,3.0,4.0
709,https://github.com/webreflection/flatted,https://github.com/dcodeio/long.js,0.04515043128,0.95484956872,1.1k,49,10,11,4.0,4.5,3.5,3.0,892,206,23,17,4.5,4.0,3.5,3.0
710,https://github.com/webreflection/flatted,https://github.com/qix-/color-convert,0.42098445600,0.57901554400,1.1k,49,10,11,4.0,4.5,3.5,3.0,751,96,12,27,4.5,3.5,3.0,4.0
711,https://github.com/webreflection/flatted,https://github.com/mafintosh/pump,0.04195500287,0.95804499713,1.1k,49,10,11,4.0,4.5,3.5,3.0,910,59,7,7,4.0,3.5,3.0,3.5
712,https://github.com/webreflection/flatted,https://github.com/prettier/prettier,0.09833853722,0.90166146278,1.1k,49,10,11,4.0,4.5,3.5,3.0,49.8k,4.4k,419,715,4.5,4.8,4.7,4.3
714,https://github.com/webreflection/flatted,https://github.com/facebook/react,0.68570563698,0.31429436302,1.1k,49,10,11,4.0,4.5,3.5,3.0,231k,47.4k,6.6k,"1,681",4.5,5,4.8,4.7
715,https://github.com/webreflection/flatted,https://github.com/cssnano/cssnano,0.82574729617,0.17425270383,1.1k,49,10,11,4.0,4.5,3.5,3.0,4.8k,319,49,109,4.5,4.0,4.0,4.0
716,https://github.com/webreflection/flatted,https://github.com/salesforce/tough-cookie,0.05005325555,0.94994674445,1.1k,49,10,11,4.0,4.5,3.5,3.0,980,227,50,38,4.5,4.0,3.5,4.0
717,https://github.com/webreflection/flatted,https://github.com/heim-rs/darwin-libproc,0.97975908996,0.02024091004,1.1k,49,10,11,4.0,4.5,3.5,3.0,8,22,2,Not explicitly provided in the information.,3.5,3.0,2.5,3.0
718,https://github.com/webreflection/flatted,https://github.com/immerjs/immer,0.83002844161,0.16997155839,1.1k,49,10,11,4.0,4.5,3.5,3.0,28k,852,155,188,4.5,4.8,4.2,4.0
720,https://github.com/webreflection/flatted,https://github.com/lukeed/polka,0.65522308812,0.34477691188,1.1k,49,10,11,4.0,4.5,3.5,3.0,5.4k,173,69,13,4.5,4.0,3.5,4.0
721,https://github.com/webreflection/flatted,https://github.com/pytest-dev/pytest,0.28600767454,0.71399232546,1.1k,49,10,11,4.0,4.5,3.5,3.0,12.3k,2.7k,196,875,4.5,4.8,4.7,4.6
723,https://github.com/webreflection/flatted,https://github.com/pion/webrtc,0.56060829573,0.43939170427,1.1k,49,10,11,4.0,4.5,3.5,3.0,14.1k,1.7k,261,203,4.5,4.8,4.7,4.3
724,https://github.com/webreflection/flatted,https://github.com/postcss/postcss,0.39862682018,0.60137317982,1.1k,49,10,11,4.0,4.5,3.5,3.0,28.6k,1.6k,506,385,4.5,4.8,4.2,4.0
725,https://github.com/webreflection/flatted,https://github.com/ajv-validator/ajv,0.41368930398,0.58631069602,1.1k,49,10,11,4.0,4.5,3.5,3.0,14k,886,112,207,4.5,4.8,4.2,4.0
726,https://github.com/webreflection/flatted,https://github.com/mozilla/source-map,0.67046389555,0.32953610445,1.1k,49,10,11,4.0,4.5,3.5,3.0,3.6k,361,70,85,4.5,4.0,3.5,4.0
727,https://github.com/webreflection/flatted,https://github.com/browserslist/browserslist,0.54911842810,0.45088157190,1.1k,49,10,11,4.0,4.5,3.5,3.0,13.1k,721,140,179,4.5,4.0,4.0,3.5
729,https://github.com/webreflection/flatted,https://github.com/node-fetch/node-fetch,0.84306302842,0.15693697158,1.1k,49,10,11,4.0,4.5,3.5,3.0,8.8k,1k,89,119,4.5,4.0,4.0,4.0
731,https://github.com/webreflection/flatted,https://github.com/clap-rs/clap,0.52288120970,0.47711879030,1.1k,49,10,11,4.0,4.5,3.5,3.0,14.6k,1.1k,69,517,4.5,4.8,4.2,4.0
732,https://github.com/webreflection/flatted,https://github.com/tokio-rs/tokio,0.04978526152,0.95021473848,1.1k,49,10,11,4.0,4.5,3.5,3.0,27.7k,2.5k,315,855,4.5,4.8,4.7,4.3
733,https://github.com/webreflection/flatted,https://github.com/rich-harris/magic-string,0.89279209005,0.10720790995,1.1k,49,10,11,4.0,4.5,3.5,3.0,2.4k,115,15,55,4.5,4.0,3.5,4.0
734,https://github.com/webreflection/flatted,https://github.com/axios/axios,0.53770081904,0.46229918096,1.1k,49,10,11,4.0,4.5,3.5,3.0,106k,11k,1.2k,454,4.5,4.8,4.7,4.3
736,https://github.com/webreflection/flatted,https://github.com/webdriverio/webdriverio,0.74286538332,0.25713461668,1.1k,49,10,11,4.0,4.5,3.5,3.0,9.2k,2.5k,215,611,4.5,4.8,4.7,4.6
738,https://github.com/webreflection/flatted,https://github.com/vweevers/module-error,0.77991967870,0.22008032130,1.1k,49,10,11,4.0,4.5,3.5,3.0,6,1,1,2,4.0,3.5,2.5,3.0
739,https://github.com/webreflection/flatted,https://github.com/colorjs/color-name,0.89000916590,0.10999083410,1.1k,49,10,11,4.0,4.5,3.5,3.0,119,30,3,8,3.5,2.5,2.0,3.0
740,https://github.com/webreflection/flatted,https://github.com/vercel/swr,0.39498551340,0.60501448660,1.1k,49,10,11,4.0,4.5,3.5,3.0,30.9k,1.2k,209,183,4.5,4.8,4.2,4.0
741,https://github.com/webreflection/flatted,https://github.com/walletconnect/walletconnect-monorepo,0.99865771810,0.00134228190,1.1k,49,10,11,4.0,4.5,3.5,3.0,1.5k,727,73,144,4.0,4.5,4.0,3.5
742,https://github.com/webreflection/flatted,https://github.com/import-js/eslint-plugin-import,0.55231517163,0.44768482837,1.1k,49,10,11,4.0,4.5,3.5,3.0,5.6k,1.6k,37,363,4.5,4.0,4.2,4.0
744,https://github.com/webreflection/flatted,https://github.com/boa-dev/boa,0.74206032283,0.25793967717,1.1k,49,10,11,4.0,4.5,3.5,3.0,5.4k,411,47,177,4.5,4.8,4.2,4.0
746,https://github.com/webreflection/flatted,https://github.com/pandas-dev/pandas,0.03168300177,0.96831699823,1.1k,49,10,11,4.0,4.5,3.5,3.0,44.3k,18.1k,1.1k,"3,391",4.5,4.8,4.7,4.6
748,https://github.com/webreflection/flatted,https://github.com/nodeca/js-yaml,0.92217898830,0.07782101170,1.1k,49,10,11,4.0,4.5,3.5,3.0,6.3k,776,75,73,4.5,4.0,3.5,4.0
749,https://github.com/webreflection/flatted,https://github.com/vitest-dev/vitest,0.81630309990,0.18369690010,1.1k,49,10,11,4.0,4.5,3.5,3.0,13.6k,1.2k,53,554,4.5,4.8,4.7,4.3
750,https://github.com/webreflection/flatted,https://github.com/fastify/fastify,0.96998635740,0.03001364260,1.1k,49,10,11,4.0,4.5,3.5,3.0,32.8k,2.3k,299,772,4.5,4.8,4.7,4.3
751,https://github.com/webreflection/flatted,https://github.com/biomejs/biome,0.21110451310,0.78889548690,1.1k,49,10,11,4.0,4.5,3.5,3.0,16.5k,512,52,478,4.5,4.8,4.2,4.0
752,https://github.com/xtuc/webassemblyjs,https://github.com/vuejs/vue,0.16634357456,0.83365642544,791,92,10,38,3.5,4.0,3.0,3.5,208k,33.7k,5.9k,366,4.5,4.0,4.5,4.0
753,https://github.com/xtuc/webassemblyjs,https://github.com/redux-saga/redux-saga,0.58269653527,0.41730346473,791,92,10,38,3.5,4.0,3.0,3.5,22.5k,2k,249,322,4.5,4.8,4.2,4.0
754,https://github.com/xtuc/webassemblyjs,https://github.com/level/levelup,0.93569818897,0.06430181103,791,92,10,38,3.5,4.0,3.0,3.5,4.1k,267,91,42,4.5,4.0,3.5,3.0
755,https://github.com/xtuc/webassemblyjs,https://github.com/debug-js/debug,0.88398584460,0.11601415540,791,92,10,38,3.5,4.0,3.0,3.5,11.2k,945,139,116,4.5,4.0,4.0,4.0
758,https://github.com/xtuc/webassemblyjs,https://github.com/webpack/webpack,0.02082980907,0.97917019093,791,92,10,38,3.5,4.0,3.0,3.5,64.9k,8.9k,1.5k,810,4.5,5,4.8,4.2
759,https://github.com/xtuc/webassemblyjs,https://github.com/gulpjs/gulp,0.26193059971,0.73806940029,791,92,10,38,3.5,4.0,3.0,3.5,33.1k,4.2k,1k,246,4.5,4.0,4.5,4.0
761,https://github.com/xtuc/webassemblyjs,https://github.com/reactivex/rxjs,0.98962655600,0.01037344400,791,92,10,38,3.5,4.0,3.0,3.5,30.9k,3k,449,538,4.5,4.8,4.7,4.3
763,https://github.com/xtuc/webassemblyjs,https://github.com/mikemcl/bignumber.js,0.65075954895,0.34924045105,791,92,10,38,3.5,4.0,3.0,3.5,6.7k,744,83,35,4.5,4.8,4.0,4.2
764,https://github.com/xtuc/webassemblyjs,https://github.com/marak/colors.js,0.87320476000,0.12679524000,791,92,10,38,3.5,4.0,3.0,3.5,5.2k,449,53,44,4.5,3.5,3.0,4.0
767,https://github.com/xtuc/webassemblyjs,https://github.com/gregberge/svgr,0.43756142270,0.56243857730,791,92,10,38,3.5,4.0,3.0,3.5,10.6k,425,35,132,4.5,4.8,4.2,4.0
768,https://github.com/xtuc/webassemblyjs,https://github.com/emotion-js/emotion,0.87574863930,0.12425136070,791,92,10,38,3.5,4.0,3.0,3.5,17.6k,1.1k,96,319,4.5,4.8,4.2,4.0
769,https://github.com/xtuc/webassemblyjs,https://github.com/chzyer/readline,0.99361837910,0.00638162090,791,92,10,38,3.5,4.0,3.0,3.5,2.1k,280,41,38,4.0,4.5,3.5,3.0
770,https://github.com/xtuc/webassemblyjs,https://github.com/pnpm/cmd-shim,0.81181317043,0.18818682957,791,92,10,38,3.5,4.0,3.0,3.5,14,11,5,Not provided,3.5,3.0,2.5,3.0
771,https://github.com/xtuc/webassemblyjs,https://github.com/wooorm/markdown-table,0.55835636390,0.44164363610,791,92,10,38,3.5,4.0,3.0,3.5,274,24,7,5,4.5,3.5,2.5,3.0
772,https://github.com/xtuc/webassemblyjs,https://github.com/coinbase/coinbase-wallet-sdk,0.04005688552,0.95994311448,791,92,10,38,3.5,4.0,3.0,3.5,1.5k,601,171,52,4.5,4.0,3.5,4.0
774,https://github.com/xtuc/webassemblyjs,https://github.com/bradfitz/iter,0.00745643062,0.99254356938,791,92,10,38,3.5,4.0,3.0,3.5,298,12,5,Not provided,2.0,1.5,1.0,1.5
775,https://github.com/xtuc/webassemblyjs,https://github.com/sindresorhus/type-fest,0.44875790180,0.55124209820,791,92,10,38,3.5,4.0,3.0,3.5,14.7k,570,52,181,4.5,4.8,4.2,4.0
776,https://github.com/xtuc/webassemblyjs,https://github.com/eslint/eslint,0.04042635257,0.95957364743,791,92,10,38,3.5,4.0,3.0,3.5,25.4k,4.6k,315,"1,035",4.5,4.8,4.7,4.3
778,https://github.com/xtuc/webassemblyjs,https://github.com/dcodeio/long.js,0.15599512520,0.84400487480,791,92,10,38,3.5,4.0,3.0,3.5,892,206,23,17,4.5,4.0,3.5,3.0
779,https://github.com/xtuc/webassemblyjs,https://github.com/qix-/color-convert,0.78825201330,0.21174798670,791,92,10,38,3.5,4.0,3.0,3.5,751,96,12,27,4.5,3.5,3.0,4.0
780,https://github.com/xtuc/webassemblyjs,https://github.com/mafintosh/pump,0.05474584636,0.94525415364,791,92,10,38,3.5,4.0,3.0,3.5,910,59,7,7,4.0,3.5,3.0,3.5
781,https://github.com/xtuc/webassemblyjs,https://github.com/prettier/prettier,0.68168783290,0.31831216710,791,92,10,38,3.5,4.0,3.0,3.5,49.8k,4.4k,419,715,4.5,4.8,4.7,4.3
783,https://github.com/rollup/rollup,https://github.com/level/levelup,0.97078525674,0.02921474326,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,4.1k,267,91,42,4.5,4.0,3.5,3.0
784,https://github.com/rollup/rollup,https://github.com/debug-js/debug,0.85322128337,0.14677871663,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,11.2k,945,139,116,4.5,4.0,4.0,4.0
785,https://github.com/rollup/rollup,https://github.com/babel/babel,0.05840825368,0.94159174632,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,43.4k,5.7k,804,"1,091",4.5,4.8,4.7,4.3
787,https://github.com/rollup/rollup,https://github.com/mochajs/mocha,0.30512450971,0.69487549029,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,22.7k,3k,398,503,4.5,4.0,4.5,4.0
789,https://github.com/rollup/rollup,https://github.com/mikemcl/bignumber.js,0.90195584557,0.09804415443,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,6.7k,744,83,35,4.5,4.8,4.0,4.2
792,https://github.com/rollup/rollup,https://github.com/electron/electron,0.51788903923,0.48211096077,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,115k,15.7k,2.8k,"1,291",4.5,4.8,4.7,4.6
793,https://github.com/rollup/rollup,https://github.com/gregberge/svgr,0.76294798417,0.23705201583,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,10.6k,425,35,132,4.5,4.8,4.2,4.0
794,https://github.com/rollup/rollup,https://github.com/emotion-js/emotion,0.57715687678,0.42284312322,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,17.6k,1.1k,96,319,4.5,4.8,4.2,4.0
796,https://github.com/rollup/rollup,https://github.com/pnpm/cmd-shim,0.45861045523,0.54138954477,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,14,11,5,Not provided,3.5,3.0,2.5,3.0
797,https://github.com/rollup/rollup,https://github.com/coinbase/coinbase-wallet-sdk,0.20121201115,0.79878798886,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,1.5k,601,171,52,4.5,4.0,3.5,4.0
798,https://github.com/rollup/rollup,https://github.com/bradfitz/iter,0.10378072590,0.89621927410,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,298,12,5,Not provided,2.0,1.5,1.0,1.5
800,https://github.com/rollup/rollup,https://github.com/dcodeio/long.js,0.13854181834,0.86145818166,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,892,206,23,17,4.5,4.0,3.5,3.0
801,https://github.com/rollup/rollup,https://github.com/qix-/color-convert,0.58978324565,0.41021675435,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,751,96,12,27,4.5,3.5,3.0,4.0
805,https://github.com/rollup/rollup,https://github.com/cssnano/cssnano,0.93795487335,0.06204512665,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,4.8k,319,49,109,4.5,4.0,4.0,4.0
807,https://github.com/rollup/rollup,https://github.com/immerjs/immer,0.91964416436,0.08035583564,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,28k,852,155,188,4.5,4.8,4.2,4.0
809,https://github.com/rollup/rollup,https://github.com/lukeed/polka,0.66032890202,0.33967109798,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,5.4k,173,69,13,4.5,4.0,3.5,4.0
814,https://github.com/rollup/rollup,https://github.com/ajv-validator/ajv,0.50207723436,0.49792276564,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,14k,886,112,207,4.5,4.8,4.2,4.0
815,https://github.com/rollup/rollup,https://github.com/mozilla/source-map,0.88188375030,0.11811624970,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,3.6k,361,70,85,4.5,4.0,3.5,4.0
816,https://github.com/rollup/rollup,https://github.com/browserslist/browserslist,0.68862623051,0.31137376949,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,13.1k,721,140,179,4.5,4.0,4.0,3.5
817,https://github.com/rollup/rollup,https://github.com/floating-ui/floating-ui,0.56651574382,0.43348425618,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,30.5k,1.6k,257,112,4.5,4.7,4.2,4.0
820,https://github.com/rollup/rollup,https://github.com/clap-rs/clap,0.78084411929,0.21915588071,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,14.6k,1.1k,69,517,4.5,4.8,4.2,4.0
821,https://github.com/rollup/rollup,https://github.com/fb55/entities,0.03262158956,0.96737841044,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,331,64,5,23,4.5,4.0,3.5,4.0
822,https://github.com/rollup/rollup,https://github.com/ljharb/qs,0.60604154225,0.39395845775,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,8.6k,735,67,64,4.5,4.0,3.5,4.0
823,https://github.com/rollup/rollup,https://github.com/epoberezkin/fast-deep-equal,0.47437398772,0.52562601228,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,1.9k,106,14,13,4.5,4.0,3.5,4.0
824,https://github.com/rollup/rollup,https://github.com/rich-harris/magic-string,0.96345587927,0.03654412073,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,2.4k,115,15,55,4.5,4.0,3.5,4.0
825,https://github.com/rollup/rollup,https://github.com/axios/axios,0.56561698142,0.43438301858,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,106k,11k,1.2k,454,4.5,4.8,4.7,4.3
826,https://github.com/rollup/rollup,https://github.com/numpy/numpy,0.26491956423,0.73508043577,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,28.6k,10.3k,599,"1,718",4.5,4.8,4.7,4.3
827,https://github.com/rollup/rollup,https://github.com/colorjs/color-name,0.80456026060,0.19543973940,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,119,30,3,8,3.5,2.5,2.0,3.0
828,https://github.com/rollup/rollup,https://github.com/brooooooklyn/snappy,0.86061161060,0.13938838940,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,168,10,4,6,4.0,4.5,3.5,3.0
829,https://github.com/rollup/rollup,https://github.com/import-js/eslint-plugin-import,0.84238777116,0.15761222884,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,5.6k,1.6k,37,363,4.5,4.0,4.2,4.0
831,https://github.com/rollup/rollup,https://github.com/getsentry/sentry-javascript,0.05322126028,0.94677873972,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,8.1k,1.6k,125,540,4.5,4.8,4.2,4.0
833,https://github.com/rollup/rollup,https://github.com/boa-dev/boa,0.77676447463,0.22323552537,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,5.4k,411,47,177,4.5,4.8,4.2,4.0
834,https://github.com/rollup/rollup,https://github.com/pandas-dev/pandas,0.34942946232,0.65057053768,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,44.3k,18.1k,1.1k,"3,391",4.5,4.8,4.7,4.6
835,https://github.com/rollup/rollup,https://github.com/inikulin/parse5,0.99390071705,0.00609928295,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,3.7k,238,43,38,4.5,4.8,3.5,4.0
836,https://github.com/rollup/rollup,https://github.com/ethers-io/ethers.js,0.94599364073,0.05400635927,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,8.1k,1.9k,104,Not explicitly provided in the information.,4.5,4.8,4.2,4.0
837,https://github.com/rollup/rollup,https://github.com/nodeca/js-yaml,0.91692276346,0.08307723654,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,6.3k,776,75,73,4.5,4.0,3.5,4.0
838,https://github.com/rollup/rollup,https://github.com/formatjs/formatjs,0.95957595530,0.04042404470,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,14.4k,1.4k,131,305,4.5,4.0,4.5,4.0
842,https://github.com/rollup/rollup,https://github.com/biomejs/biome,0.44297781034,0.55702218966,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,16.5k,512,52,478,4.5,4.8,4.2,4.0
844,https://github.com/rollup/rollup,https://github.com/alexeyraspopov/picocolors,0.99855574810,0.00144425190,25.5k,1.5k,257,395,4.5,4.8,4.2,4.0,1.4k,45,10,13,4.5,4.0,3.5,4.0
846,https://github.com/level/levelup,https://github.com/babel/babel,0.00105035642,0.99894964358,4.1k,267,91,42,4.5,4.0,3.5,3.0,43.4k,5.7k,804,"1,091",4.5,4.8,4.7,4.3
847,https://github.com/level/levelup,https://github.com/gulpjs/gulp,0.01354678796,0.98645321204,4.1k,267,91,42,4.5,4.0,3.5,3.0,33.1k,4.2k,1k,246,4.5,4.0,4.5,4.0
849,https://github.com/level/levelup,https://github.com/electron/electron,0.03490788711,0.96509211289,4.1k,267,91,42,4.5,4.0,3.5,3.0,115k,15.7k,2.8k,"1,291",4.5,4.8,4.7,4.6
850,https://github.com/level/levelup,https://github.com/gregberge/svgr,0.09851701195,0.90148298805,4.1k,267,91,42,4.5,4.0,3.5,3.0,10.6k,425,35,132,4.5,4.8,4.2,4.0
851,https://github.com/level/levelup,https://github.com/emotion-js/emotion,0.10289116515,0.89710883485,4.1k,267,91,42,4.5,4.0,3.5,3.0,17.6k,1.1k,96,319,4.5,4.8,4.2,4.0
852,https://github.com/level/levelup,https://github.com/chzyer/readline,0.82547481352,0.17452518648,4.1k,267,91,42,4.5,4.0,3.5,3.0,2.1k,280,41,38,4.0,4.5,3.5,3.0
853,https://github.com/level/levelup,https://github.com/coinbase/coinbase-wallet-sdk,0.00637518452,0.99362481548,4.1k,267,91,42,4.5,4.0,3.5,3.0,1.5k,601,171,52,4.5,4.0,3.5,4.0
854,https://github.com/level/levelup,https://github.com/bradfitz/iter,0.00221768828,0.99778231172,4.1k,267,91,42,4.5,4.0,3.5,3.0,298,12,5,Not provided,2.0,1.5,1.0,1.5
855,https://github.com/level/levelup,https://github.com/eslint/eslint,0.00103031931,0.99896968069,4.1k,267,91,42,4.5,4.0,3.5,3.0,25.4k,4.6k,315,"1,035",4.5,4.8,4.7,4.3
856,https://github.com/level/levelup,https://github.com/dcodeio/long.js,0.00301428848,0.99698571152,4.1k,267,91,42,4.5,4.0,3.5,3.0,892,206,23,17,4.5,4.0,3.5,3.0
857,https://github.com/level/levelup,https://github.com/facebook/react,0.26079480721,0.73920519279,4.1k,267,91,42,4.5,4.0,3.5,3.0,231k,47.4k,6.6k,"1,681",4.5,5,4.8,4.7
859,https://github.com/level/levelup,https://github.com/heim-rs/darwin-libproc,0.82704149943,0.17295850057,4.1k,267,91,42,4.5,4.0,3.5,3.0,8,22,2,Not explicitly provided in the information.,3.5,3.0,2.5,3.0
861,https://github.com/level/levelup,https://github.com/jedisct1/go-minisign,0.06582995187,0.93417004813,4.1k,267,91,42,4.5,4.0,3.5,3.0,113,12,5,3,3.5,3.0,2.5,3.0
862,https://github.com/level/levelup,https://github.com/ajv-validator/ajv,0.06691097853,0.93308902147,4.1k,267,91,42,4.5,4.0,3.5,3.0,14k,886,112,207,4.5,4.8,4.2,4.0
864,https://github.com/level/levelup,https://github.com/floating-ui/floating-ui,0.06260655041,0.93739344959,4.1k,267,91,42,4.5,4.0,3.5,3.0,30.5k,1.6k,257,112,4.5,4.7,4.2,4.0
866,https://github.com/level/levelup,https://github.com/fb55/entities,0.01211387038,0.98788612962,4.1k,267,91,42,4.5,4.0,3.5,3.0,331,64,5,23,4.5,4.0,3.5,4.0
867,https://github.com/level/levelup,https://github.com/epoberezkin/fast-deep-equal,0.02904590643,0.97095409357,4.1k,267,91,42,4.5,4.0,3.5,3.0,1.9k,106,14,13,4.5,4.0,3.5,4.0
